試合日時,Season,Kind,後攻チーム,先攻チーム,プレイの番号,回,表.裏,先攻得点,後攻得点,S,B,アウト,打席の継続,イニング継続,試合継続,一走打順,一走氏名,二走打順,二走氏名,三走打順,三走氏名,打順,打者氏名,打席左右,作戦,作戦2,作戦結果,投手氏名,投手左右,球数,捕手,一走状況,二走状況,三走状況,打者状況,プレイの種類,構え,コースX,コースY,球種,打撃結果,打撃結果2,捕球選手,打球タイプ,打球強度,打球位置X,打球位置Y,牽制の種類,牽制詳細,エラーの種類,タイムの種類,球速,プレス,偽走,打者位置,打席Id,打席結果,Result_col,打者登録名,打者番号,一走登録名,一走番号,二走登録名,二走番号,三走登録名,三走番号,投手番号,入力項目,先攻打順,後攻打順,URL,start_tag_sec,target_x,target_z,守備チーム,score,comment
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,220,6,裏,4,3,0,1,2,打席継続,イニング継続,試合継続,0,0,5,山下龍斗,0,0,8,渡邉翔太,右,0,0,0,佐々木裕平,右,12,田代旭,0,継続,0,継続,投球,18,142.02,226.18,スライダー,ボール,0,0,0,0,0,0,0,0,0,0,98,0,0,2,0,0,0,29,0,0,0,0,0,0,4,0,1,8,1:53:57,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1180,126.8975,163.7175,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,222,6,裏,4,3,0,2,2,打席継続,イニング継続,試合継続,0,0,5,山下龍斗,0,0,8,渡邉翔太,右,0,0,0,佐々木裕平,右,13,田代旭,0,継続,0,継続,投球,19,160.43,140.705,カット,ファール,0,0,ゴロ,0,61.8456057,198.6555819,0,0,0,0,111,0,0,2,0,0,0,29,0,0,0,0,0,0,4,0,1,8,1:54:29,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1188,136.76,174.2375,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,223,6,裏,4,3,1,2,2,打席完了,イニング継続,試合継続,0,0,5,山下龍斗,0,0,8,渡邉翔太,右,0,0,0,佐々木裕平,右,14,田代旭,0,本進,0,出塁,投球,19,154.5125,128.87,ストレート,単打,0,8,ゴロ,A,123.6912114,93.0807601,0,0,0,0,119,0,0,2,0,0,0,29,0,0,0,0,0,0,4,0,1,8,1:55:29,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1197,187.3875,146.6225,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,225,6,裏,4,4,0,0,2,打席継続,イニング継続,試合継続,8,渡邉翔太,0,0,0,0,9,斎藤快太,右,盗塁,盗塁,盗塁成功,佐々木裕平,右,15,田代旭,二進,0,0,継続,投球,19,152.54,145.3075,スライダー,見逃し,0,0,0,0,0,0,0,0,0,0,101,0,0,6,0,0,0,9,0,0,0,0,0,0,4,0,1,9,1:55:55,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1226,162.4025,139.39,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,226,6,裏,4,4,1,0,2,打席継続,イニング継続,試合継続,0,0,8,渡邉翔太,0,0,9,斎藤快太,右,0,0,0,佐々木裕平,右,16,田代旭,0,継続,0,継続,投球,14,243.275,136.76,カット,ボール,0,0,0,0,0,0,0,0,0,0,109,0,0,6,0,0,0,9,0,0,0,0,0,0,4,0,1,9,1:56:31,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1241,134.13,78.2425,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,227,6,裏,4,4,1,1,2,打席継続,イニング継続,試合継続,0,0,8,渡邉翔太,0,0,9,斎藤快太,右,0,0,0,佐々木裕平,右,17,田代旭,0,継続,0,継続,投球,12,182.785,241.96,ツーシーム,空振り,0,0,0,0,0,0,0,0,0,0,118,0,0,6,0,0,0,9,0,0,0,0,0,0,4,0,1,9,1:56:47,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1251,107.83,203.825,筑波大学,-,-
2025/7/18,夏季,オープン戦,日立製作所,筑波大学,228,6,裏,4,4,2,1,2,打席完了,イニング継続,試合継続,0,0,8,渡邉翔太,0,0,9,斎藤快太,右,0,0,0,佐々木裕平,右,18,田代旭,0,継続,0,アウト,投球,14,83.5025,28.93,カット,見逃し三振,0,0,0,0,0,0,0,0,0,0,109,0,0,6,0,0,0,9,0,0,0,0,0,0,4,0,1,9,1:57:09,https://www.youtube.com/embed/H1NzUOLjlRg?si=dPstxIsWNIJcmKai,1260,124.2675,69.695,筑波大学,-,-
2025/6/14,夏季,オープン戦,常磐大学,筑波大学,161,6,裏,3,0,0,0,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,8,佐藤颯,左,0,0,0,長谷川和斗,右,1,田代旭,0,0,0,継続,投球,17,145.3075,181.47,ストレート,見逃し,0,0,0,0,0,0,0,0,0,0,113,0,0,6,0,0,0,48,0,0,0,0,0,0,57,0,7,8,1:25:41,https://www.youtube.com/embed/nMCVtdp551c?si=E2W-dKpfwPwanDLd,568,72.325,167.6625,筑波大学,-,-
2025/6/14,夏季,オープン戦,常磐大学,筑波大学,163,6,裏,3,0,1,1,0,打席継続,イニング継続,試合継続,0,0,0,0,0,0,8,佐藤颯,左,0,0,0,長谷川和斗,右,3,田代旭,0,0,0,継続,投球,17,91.3925,170.95,ストレート,ファール,0,0,フライ,0,93.0807601,239.8859857,0,0,0,0,135,0,0,H,0,0,0,48,0,0,0,0,0,0,57,0,7,8,1:27:13,https://www.youtube.com/embed/nMCVtdp551c?si=E2W-dKpfwPwanDLd,583,86.1325,164.375,筑波大学,-,-
2025/6/14,夏季,オープン戦,常磐大学,筑波大学,165,6,裏,3,0,0,0,1,打席継続,イニング継続,試合継続,0,0,0,0,0,0,9,佐藤羽,左,0,0,0,長谷川和斗,右,5,齋藤蓮,0,0,0,継続,投球,17,38.135,132.1575,カーブ,ボール,0,0,0,0,0,0,0,0,0,0,103,0,0,7,0,0,0,85,0,0,0,0,0,0,57,0,7,9,1:28:51,https://www.youtube.com/embed/nMCVtdp551c?si=E2W-dKpfwPwanDLd,603,84.8175,185.415,筑波大学,-,-
2025/6/14,夏季,オープン戦,常磐大学,筑波大学,167,6,裏,3,0,1,1,1,打席継続,イニング継続,試合継続,0,0,0,0,0,0,9,佐藤羽,左,0,0,0,長谷川和斗,右,7,齋藤蓮,0,0,0,継続,投球,17,106.515,228.1525,スライダー,ボール,0,0,0,0,0,0,0,0,0,0,120,0,0,7,0,0,0,85,0,0,0,0,0,0,57,0,7,9,1:29:41,https://www.youtube.com/embed/nMCVtdp551c?si=E2W-dKpfwPwanDLd,616,83.5025,176.8675,筑波大学,-,-
